track_id,spectral_centroid_mean,spectral_centroid_var
000002,2975.2795035551358,932931.8409253326
000003,2758.702052500663,772835.0218768591
000005,2361.2168883693425,709238.6470974552
000010,2319.325849041949,127330.1968224156
000134,2378.7821972637403,897203.9872708914
000136,1687.1786744391147,29846.713486417666
000139,2483.299849857843,295618.34164421924
000140,1680.6222144780074,970180.588429909
000141,1611.7486890899165,591479.0488057408
000148,1687.8483117414905,278519.72162879916
000181,2382.5008317634356,229082.40016911164
000182,1874.3465358806193,129844.36331365141
000190,1874.194176573997,461713.42573699984
000193,1570.2188786155768,368110.88175256
000194,1535.4017088039182,230265.62817278
000197,1136.412898805618,202049.18309698944
000198,1767.495003509833,262684.4559912249
000200,1900.8150351041666,493550.1877942392
000203,1329.0949482249714,264239.75660562835
000204,1736.429057933173,958819.5323747839
000207,1228.1911655410672,322167.8631873691
000208,1817.631202819913,437725.83213645057
000209,1591.3690161813893,58591.48013443205
000210,1802.496747580283,179130.42451955198
000211,1578.2557344681122,172968.49833423525
000212,2233.7663612062092,706593.5882661169
000213,1114.7186526241258,366604.7792100069
000237,2147.5206791099968,77455.12438953987
000247,1451.6771663847178,72786.33733272273
000249,943.4546828960739,86682.95638753138
000255,1246.8641257730242,172183.49999979718
000256,2160.9735736067323,92255.86244909934
000257,2049.8694836498103,151385.3936743275
000258,2362.5638149738697,99259.35618107331
000341,1217.9272922324226,349826.1971614002
000343,2031.2191225932627,1080168.9923623083
000352,1429.001799520901,80743.29879258183
000368,1472.671291185068,731014.3013801568
000369,985.7150719969947,250501.38957748708
000397,413.90174717691144,18967.627529877907
000398,2440.5306473423243,125109.45685130656
000399,2463.144540310436,260579.2741025064
000400,748.3028744104188,22574.775387530768
000405,1710.261058431366,229937.96483697311
000414,1617.1527968072076,713282.4031817069
000424,1848.603086931706,22250.589451739357
000425,1143.7143941273303,39149.709832115754
000458,2003.702030682581,87439.92430018063
000459,1904.6281674032173,291528.6943192922
000512,2147.4441726442387,273149.6348663918
000534,997.8021454234886,175668.42616477492
000535,1133.5759166514854,179546.99670271657
000536,1322.7813232475048,217072.52210400018
000537,1228.4273880622454,253958.92063541987
000540,1372.5295112876636,211935.50643430566
000546,1254.2887065198286,232380.10757175917
000550,1703.1269492401545,520783.51935869514
000564,1462.3056916835606,961188.4645058165
000573,2399.093102313989,78780.23159191823
000574,2556.898910683511,233597.05618463358
000583,1475.7654123663426,746724.8092878901
000584,1364.321654675189,374411.49636102037
000585,1241.4947559685365,570429.8867666475
000590,1498.9457393278437,288762.4217031145
000591,1172.7350005171675,260734.74637611554
000592,1092.0161063651917,156921.76210050267
000593,1246.770966299627,355233.08525261126
000602,747.0939933718453,245023.80193120296
000603,1470.6562198166564,652007.433761605
000605,2722.6747566660324,134759.64595279866
000608,2632.9474758190026,146437.05290799885
000615,391.41678187059216,33854.399266354216
000619,1765.4005663969297,359679.3825424517
000620,1914.0050876303644,593901.2813280678
000621,1733.5746632516593,363706.83576451207
000625,1678.308972033001,597300.5983995211
000629,1960.3063175936138,325820.15392795345
000631,3115.399925871776,225302.33402192633
000633,1361.2752945241452,14255.976663401689
000635,1714.4064396595038,63699.4836036459
000664,1390.7338786427986,251826.19594378947
000665,2493.2147574621918,92334.65249141988
000666,1664.8439725149042,169871.85877208062
000667,2103.7657309646156,318385.7335531543
000668,2176.048093120411,412770.68019356503
000669,2113.941181346619,409508.10175950394
000672,1939.8190928982567,953693.5370261061
000673,1982.1772419899805,1007487.9002314118
000674,2719.5111710282376,573029.7895733195
000676,1936.126306856607,740204.4036527468
000677,1970.6480600378582,766090.7555756721
000679,2017.7796974069217,594361.0029584401
000680,1557.612302134407,735226.4578987141
000681,1556.387626497076,734809.2900818666
000684,1794.718495263009,754964.4832701773
000686,2184.3163425255366,458870.4573725587
000690,2503.054404543383,108078.41033237323
000694,3030.4324719195474,957546.1010663572
000695,2689.229457195981,552006.0944626584
000696,3067.2055031305913,523585.2960423282
000698,2488.6765000317605,433999.1045869414
000701,2333.7065307478974,605998.7943457437
000702,2118.5157356354543,107915.15512891333
000703,1662.2135890895165,438885.3630754763
000704,2991.65659659056,580486.2661530342
000705,3032.3144043592924,393343.2877669527
000706,3167.3118048788156,397514.9840309674
000707,2287.882092817923,192433.09814872383
