track_id,spectral_rolloff_mean,spectral_rolloff_var
000002,6088.3505587057025,2180361.5966508444
000003,5681.876212206352,2165383.025723236
000005,5326.953068354844,2415460.2620538007
000010,4256.3937044623835,582848.4980845164
000134,4994.820480169664,3289452.719414446
000136,3456.9714535122966,162988.86956743212
000139,4723.602498214805,1004231.209316611
000140,3679.3422235064872,5428865.357915241
000141,3238.0533349874127,2537506.156070103
000148,3504.8165295495255,2088124.470134146
000181,4700.075394703451,737233.1193520265
000182,3946.3216901102087,649334.1384965943
000190,3667.7389972447795,1559171.6017528242
000193,3184.2703656020044,1559447.0310522967
000194,3069.4473585230567,1099021.547700849
000197,2180.282684964417,972631.9726374879
000198,3641.8300826636328,1184848.27215939
000200,3811.5270684062743,1168741.993555741
000203,2414.4041455872384,1803338.1955887487
000204,3256.7426875060514,2853559.339428275
000207,2203.108547455945,1938434.0514690308
000208,3626.493304760118,1192736.931224153
000209,3096.1348743837007,412835.1069230849
000210,3528.5975338964618,827340.7087894254
000211,3067.514035722066,690907.6477558584
000212,5051.712804390976,4386490.889654888
000213,2087.636537204686,2093504.6424686995
000237,4116.069275422396,456637.0054036642
000247,2818.0474574578816,581157.3609644204
000249,1765.5558614930287,404265.0644445517
000255,2324.3683357741093,1184871.4210335026
000256,4182.353511842806,545002.598597429
000257,4041.7788906673604,630797.8626134398
000258,4485.276281086862,462179.35664331977
000341,2228.0037227196926,1935943.846677054
000343,4830.100950541005,5597403.6397925345
000352,2711.809665476363,629022.1148717485
000368,3064.6535056400076,5310199.972402378
000369,2059.9514777588456,1513283.9262489546
000397,735.3980834866383,156330.4308042846
000398,4745.711143251356,871150.2595878344
000399,5116.996272269558,1310091.4988038803
000400,1192.3239804717757,167402.84153707678
000405,3532.0124146737026,1100287.2900975717
000414,2995.633835205267,2287537.0357994903
000424,3403.939060533259,109895.93206926603
000425,2098.5463719910094,457279.77522155177
000458,3811.5268362093966,459415.51516842586
000459,4288.338235027552,2207395.062156023
000512,3681.6448167415892,922300.3138844412
000534,1771.0434089973858,1312701.0693405333
000535,2244.2734934764717,1408113.7212842915
000536,2792.135891962384,1176695.919909587
000537,2461.0219579285094,1381520.795524866
000540,2911.235688177769,898783.1087019139
000546,2551.709589526046,1204838.8382509486
000550,3678.3581344403565,2713917.9352618973
000564,3148.9682552890204,5712856.570819545
000573,4962.661083643978,471796.1673863791
000574,5335.69755761038,1627606.1686408627
000583,2649.3667071490718,3144300.6106905923
000584,2953.3129486296402,2940860.175426472
000585,2597.19906694098,3580018.141977325
000590,3162.612066409276,2430433.557035495
000591,2199.809049177059,1652243.7216721715
000592,2045.254608649942,1299784.319769483
000593,2437.8805076309545,2049550.1062536184
000602,1068.1536236444617,1614460.4016005846
000603,3026.782756069665,3678874.3280613692
000605,5238.821814729554,844749.2190640469
000608,5470.074760277697,804921.0367918755
000615,464.96230831279,78488.62120707076
000619,3360.720152534078,1389305.7413996058
000620,4078.6405319580267,3455723.461523328
000621,3323.4605902945877,1421720.645233887
000625,3214.5008768670245,2094849.008106248
000629,4883.875580188565,1728550.178786878
000631,6680.06329879938,658970.2852809695
000633,2454.8684246302205,30305.51110275232
000635,3302.1192011401045,338945.9065596103
000664,2753.4895467721244,1533314.4521288506
000665,5400.397243839562,97579.68220902463
000666,3604.779774960122,694038.9973824931
000667,4302.996159560176,1080090.7417865084
000668,4464.251015081207,2044134.995340733
000669,4353.176362195004,2052739.967579666
000672,4323.0949277752225,4452036.749487279
000673,4413.2725131317775,4491847.256512844
000674,6008.756100678979,2058401.4537636146
000676,4385.342731076927,4299346.908685531
000677,4460.470630619199,4384822.040614399
000679,4302.044210411833,3001568.6796585256
000680,3784.389561447037,5982480.85014343
000681,3778.0847196335203,5976208.01687783
000684,3994.7677884149884,3565201.3961410183
000686,4755.440540712007,1843555.4312284812
000690,4653.657116878873,390013.63166629476
000694,6404.318206574361,2487817.6654652148
000695,5375.294632915376,1962846.8085378762
000696,6683.432552890202,1693641.0181145398
000698,5503.868371326733,1819014.701996232
000701,4824.388230114737,2189581.6112915752
000702,3627.210522215095,832479.6519707765
000703,3561.935394074361,2598960.5129127163
000704,6532.449938879744,1864421.607497931
000705,6593.2132688444035,958824.8952785499
000706,6619.261675699681,603948.5072304758
000707,4482.425619372095,675097.1763645711
000708,5088.34927275973,1921242.1737693222
000709,4990.165777715342,2295562.30336552
000714,2569.790141181739,370437.5620957299
000715,1182.5414679754067,58856.910336815046
000716,2676.930753322279,405595.42738540197
000717,2129.376925136764,213700.12140366973
000718,6408.94240093895,707862.7310261512
000720,4493.4924514971435,390115.12248652126
000734,4069.958581061485,1225330.6422014313
000735,6055.809527262181,2491701.360135023
000736,4031.4219746954755,2437609.8715099585
000737,5229.140727119239,7670412.200322147
000738,4965.959659585267,5736116.92968649
000739,3646.4753166452847,294459.32237298455
000740,4342.013032917634,1631240.7680478715
000741,4733.676901535873,4511060.686818449
000742,5083.895852748596,902229.3823123145
000743,5715.183564294519,2073795.2150769657
000744,5356.8630705300175,3268520.0569201712
000745,6801.072894982088,4507572.263495025
000747,4816.975873694895,3483290.2835382866
000748,5861.793240311532,3462371.8040912063
000749,6797.136538717564,2945176.0407589204
000750,5913.029235698231,2502254.2930979347
000751,5136.5946562136905,1505699.9998708232
000752,2582.84359819098,1093795.827228472
000753,2934.519275213892,1330247.6911664715
000754,3520.0625249238688,5383431.228468956
000755,4941.711662168377,1538117.7649142614
000756,3926.3735983188903,4339374.357117497
000757,6792.37663817793,2082176.685650545
000758,5570.502876736784,3611607.60101943
000759,4707.615220759101,1461659.0995319595
000760,3423.2713597556553,164981.99745511892
000761,6955.391146135441,1949027.1646368583
000762,4889.746755633956,174630.9720389752
000763,5394.0757225503485,1792289.5758270002
000764,3138.085484338747,470129.0692556367
000765,5750.966464041925,547204.729002414
000766,4204.370419763023,501303.87360499386
000767,5474.346428183005,395512.7387343591
000768,5656.537644105279,3965737.873677448
000769,5211.752373704977,312846.9370148749
000770,6157.286831761958,1607655.7621235072
000771,5557.36778962529,995919.4551126133
000772,3890.846315083995,950500.71574778
000773,6499.449596212965,531294.2773044567
000774,5893.392507019752,1316311.9623600019
000775,5963.165127428944,1437125.9193207715
000776,5800.396090270381,2864736.3040173477
000777,5196.040307598277,1934566.3284405381
000814,1454.2584668195682,965672.7241203974
000819,5871.894655869344,891405.2420752629
000820,4767.210987424961,1312689.799816058
000821,2559.8115642220127,4831270.197816578
000822,2232.2559312366866,3517516.8710013623
000823,2278.4413994420506,3921677.4174780673
000824,3417.1344801334108,153153.1107332959
000825,4299.201578839078,74370.86050283979
000826,3580.983355320488,137493.12658124263
000829,3429.5837544176024,143603.48845788024
000830,3243.3200632613107,439996.5348549551
000831,2919.497659422129,1658251.9608682229
000832,3608.637926026336,654794.2381839273
000833,3587.338235561096,922797.7229689629
000834,2759.027132703573,2163849.516542444
000835,2755.5494620207205,1908555.6555699895
000853,2222.0000725058003,109683.74056562
000854,6756.705489627711,1895438.0807024238
000855,6614.60697324536,1032192.5859395822
000858,7204.165784154725,535929.0421492723
000861,6352.394998729183,1082849.0033883392
000863,6309.378630906274,1114984.8793937317
000868,2192.914427294809,1258184.859845546
000878,2505.407364990802,236893.39075989957
000881,2254.8994095308876,268001.50208270515
000889,2738.1027304415184,131614.2428739412
000890,2561.567159663052,132912.7032232008
000891,2150.7099745533988,1184932.6245834725
000892,1842.3148086512394,136233.96587481073
000893,1568.8798238102731,703157.8044757424
000894,1336.6848426304705,471057.07208783354
000895,1653.451899198811,58587.99856460714
000896,4398.961522983636,582365.8517933718
000897,7074.090892930625,40830.84592676559
000898,779.6418440037703,3316.887087063969
000992,4629.3467810503,2194737.400099293
000993,5408.905808167779,509749.2618315995
000995,5464.429164098753,46768.77481734325
000997,5913.945187880656,79534.1999287793
000998,6653.142625024206,80821.06720337918
001014,3941.852151765831,576219.0840222731
001015,3583.310142180238,363992.2739188886
001016,3818.123801044491,296746.3783041653
