track_id,spectral_centroid,MFCC_5,chroma_stft_11,MFCC_17,MFCC_2,MFCC_7,spectral_rolloff,rms_percussive,MFCC_15,chroma_stft_9,MFCC_4,MFCC_16,chroma_stft_4,MFCC_9,MFCC_18,MFCC_10,MFCC_8,zero_crossings,MFCC_12,MFCC_20,MFCC_14,MFCC_1,MFCC_19,KMeans_Labels
2,2975.2795037667343,-7.1172547,0.37844425,-11.482881,69.024666,-5.7261004,6088.350558705703,0.10242912,-6.496868,0.3725422,16.015945,4.35164,0.3426641,-9.800666,0.85894626,4.6699038,9.107853,107473,6.8462334,2.784478,11.474691,-70.15165,-5.743586,0
5,2361.216888635806,-4.1641335,0.50771946,-6.5213237,90.47684,-8.658681,5326.953068354844,0.08541733,-2.3534427,0.4884637,27.356474,3.412343,0.33910877,-9.263302,1.7167833,2.8842325,20.449034,65573,11.691971,3.4436574,9.956776,-108.92436,-3.7977881,0
10,2319.325849355042,-7.975301,0.56939065,-5.827612,97.88716,-5.638695,4256.393704462384,0.0810359,-7.8969593,0.38106036,35.81951,1.8316556,0.34684432,-8.540472,5.5777507,3.7034125,5.962729,98089,5.2978673,6.2024336,5.5708585,-19.837091,-3.4693594,0
140,1680.622214529758,23.66924,0.2950705,-6.97995,103.943405,7.782107,3679.3422235064872,0.015484743,-10.18678,0.20099731,38.013676,3.072841,0.34502655,-1.5905216,0.9148128,9.252684,7.8697457,28713,0.50738865,0.33183393,4.870484,-280.37418,-7.929453,1
141,1611.7486891861026,7.873686,0.51360863,-1.4495629,118.39479,5.491506,3238.0533349874127,0.023680083,-3.5176198,0.21413782,27.839834,6.454854,0.18568857,-1.7444861,4.338287,3.891664,-3.3715775,40485,-1.8303268,0.00095110363,4.6178923,-209.97003,-9.859125,1
148,1687.8483115452764,9.102555,0.3320029,-3.235619,129.6558,-5.0210147,3504.816529549525,0.14012246,3.8049998,0.4276486,34.512817,8.441983,0.3451436,-3.7564075,10.332355,11.459226,17.381224,58287,9.598869,6.5921645,13.181983,5.707001,6.404596,0
182,1874.346535920348,-37.850002,0.47711077,-0.36099386,137.21863,-4.955339,3946.3216901102087,0.090550914,-3.1866374,0.32143226,43.991413,2.1019785,0.47839105,11.423717,-1.6566306,7.84486,14.346756,66573,12.846215,-1.4313736,11.894901,-26.550814,-0.96270263,0
190,1874.1941759087267,-10.030551,0.15379791,-10.5329075,99.21576,-24.274965,3667.73899724478,0.0320302,-9.646105,0.2612582,28.1459,-7.315127,0.19936296,-22.280264,-0.7330767,-3.7108445,-4.5817223,58261,-3.0734515,-6.927468,-4.5678706,-141.37262,-7.4854703,1
193,1570.2188785461606,-11.766886,0.29461765,-11.343736,122.05485,-15.249892,3184.2703656020044,0.014364593,-14.848489,0.31388253,37.113503,-7.550114,0.47011754,-17.602352,-7.892911,-6.609428,-3.9852388,50923,-3.8933136,-9.062835,-6.074036,-199.24922,-10.219226,1
194,1535.4017088712365,-9.870645,0.26015356,-10.8589735,120.52047,-13.919599,3069.4473585230567,0.021700999,-10.14764,0.2979854,30.821478,-4.613222,0.24117063,-18.266031,-5.893844,-4.375364,-0.18247487,48197,-1.3439045,-6.1631656,-8.312237,-185.82869,-9.011704,1
197,1136.4128988796872,-0.90151155,0.14494751,-7.6054792,127.28967,-7.997546,2180.282684964417,0.0063963667,-12.597549,0.13658214,18.00222,-6.391551,0.26886895,-10.361583,-7.4141293,-7.2263765,-6.0069213,35771,-7.3572607,-3.5436242,-7.532619,-296.51727,-5.2836666,1
200,1900.81503511996,-11.974378,0.26284853,-8.2526245,104.71749,-14.019696,3811.5270684062734,0.041625887,-9.685777,0.25558162,42.49569,-3.3902934,0.3782474,-12.482735,-7.0257635,-4.9952826,-1.316353,64403,-6.666632,-8.279708,-9.907044,-123.59806,-13.96629,1
203,1329.0949483450693,-20.656176,0.16071393,-2.7101064,125.00066,-22.49945,2414.4041455872384,0.018477896,1.5317174,0.105847605,14.431182,3.8389738,0.16622932,-24.52933,-1.1532706,-11.939223,-12.882162,34695,-12.286417,2.7488062,4.0582647,-268.11276,-1.2306013,1
204,1736.4290577479762,4.534984,0.20235758,-2.1016397,124.28938,-16.970383,3256.7426875060514,0.032808274,-4.513568,0.23337626,19.952595,-7.1665287,0.18334292,-18.426205,3.8219259,-2.6939127,-6.583525,53057,-0.12340674,1.3407772,-5.217076,-165.95142,-1.7273422,1
207,1228.1911655347035,-7.5794864,0.18821363,-5.572645,101.30868,-9.714637,2203.108547455945,0.007756179,-7.2297516,0.117900796,10.276417,-4.7865543,0.1538053,-7.756988,-5.7843285,-3.1759636,-5.4394345,40345,-3.8329105,-4.6741033,-5.2148566,-371.3074,-8.4509945,1
210,1802.49674747516,-8.166428,0.19678181,-6.46829,111.643105,-15.812557,3528.5975338964618,0.03811659,-12.134509,0.28282148,20.89406,-6.4375234,0.24328123,-19.514656,0.04387007,-3.6864703,1.842451,56173,0.43554357,-1.806609,-10.80018,-105.8615,-11.894112,1
211,1578.255734232759,-14.898834,0.14424258,-8.101462,127.926476,-17.677132,3067.514035722066,0.04072283,-6.5824223,0.20313315,24.695595,-5.434076,0.23269762,-22.726793,-1.649268,-9.507295,-8.682392,51973,-5.5597177,-2.2122128,-8.597345,-130.55452,-5.158048,1
212,2233.7663614336,8.087084,0.19827905,-4.9043107,107.34288,-5.007361,5051.712804390976,0.039041266,-2.7802687,0.26789597,20.152983,5.870226,0.25643975,-13.586635,6.9322457,3.483945,5.9531946,67879,6.3597107,5.75742,3.3749027,-113.37235,-2.0375216,0
213,1114.718652356133,11.188584,0.26347175,-5.4097805,161.22134,-11.5802555,2087.636537204686,0.012296304,-19.111418,0.2837732,15.890027,-2.0209467,0.097013764,-8.987726,1.8639218,-8.572672,1.7340648,35605,-4.6842766,-3.1678958,-10.50909,-264.63858,3.9725957,1
255,1246.8641261208854,-12.553453,0.42110032,-8.716629,165.52466,-11.063618,2324.3683357741093,0.053475384,-6.037962,0.36450058,19.722149,-0.1246146,0.33718958,-9.607308,-1.8204799,-0.18167233,1.1796614,39781,-1.3309814,-2.2027102,0.53861356,-138.28984,-9.70336,1
256,2160.97357341534,-1.811259,0.649605,-11.078249,104.90677,-6.6218576,4182.353511842806,0.12452631,-5.83759,0.5452742,39.05789,3.9086695,0.5698424,-2.5030584,2.11033,7.7716303,13.64533,76253,9.253699,1.9349031,6.9811993,26.675632,-7.541704,0
368,1472.6712909314106,17.226776,0.18520541,-8.315954,120.13508,-5.2141724,3064.653505640008,0.019411115,-6.306279,0.22274321,21.624285,2.831537,0.54234844,-3.3449063,2.5308225,6.10583,16.859066,30571,12.369885,1.24303,7.1386423,-258.44528,-9.112384,1
424,1848.6030866839133,-22.967524,0.31415367,-10.308568,126.48493,-22.732637,3403.939060533259,0.046112053,-7.0190306,0.4424149,48.455,-6.510484,0.72209126,-23.017632,-4.379087,-2.9625185,-4.191784,79551,1.0202832,-0.48017746,2.8396902,-104.34833,-10.813011,1
459,1904.628167232232,7.606271,0.30527738,-5.926005,113.77347,-3.5860674,4288.338235027552,0.102747165,-4.6225605,0.29463276,30.61427,5.0756097,0.5544003,-3.0900621,4.9643884,11.50646,17.03421,41813,7.9996557,5.8489976,7.0976133,2.6182745,-5.7702403,0
534,997.8021453675232,-13.822509,0.50887007,-2.0095928,150.71605,11.328481,1771.0434089973858,0.01943268,-2.0749817,0.3874677,55.034325,0.9262871,0.47972268,-6.3954525,-3.0282075,0.23136476,-15.762855,26871,-4.4061055,0.20204411,5.3259473,-260.15665,-3.3219767,1
540,1372.5295113572529,-9.482169,0.13756885,-6.7651925,139.13678,11.475561,2911.235688177769,0.029261786,-11.746472,0.75441074,57.51547,-1.2110201,0.31628594,-18.417246,-0.69574946,0.3680768,-9.22144,40455,-1.0037078,0.8827451,-0.005108988,-206.7143,-0.75382286,1
546,1254.2887064559768,-16.666643,0.2098466,-0.053922173,150.23807,17.531834,2551.709589526046,0.029294828,-5.277879,0.34442747,53.70995,-5.391672,0.3552785,-15.113549,-2.632883,-0.37417585,-4.992523,37487,6.134849,-1.0433308,-1.6800317,-225.02847,1.249801,1
