track_id,chroma_stft_1,chroma_stft_2,chroma_stft_3,chroma_stft_4,chroma_stft_5,chroma_stft_6,chroma_stft_7,chroma_stft_8,chroma_stft_9,chroma_stft_10,chroma_stft_11,chroma_stft_12
126014,0.26555645,0.21241735,0.3733954,0.37068203,0.20600145,0.36347258,0.20359764,0.31381145,0.116969384,0.08623816,0.18553425,0.15056695
054496,0.20443022,0.17998812,0.31066456,0.27576423,0.26225343,0.23048012,0.27012104,0.3947422,0.3312736,0.3866723,0.3172515,0.16865188
065893,0.4053322,0.36553994,0.32514274,0.34359738,0.45983967,0.4609296,0.373853,0.40119958,0.41657156,0.48759472,0.44186527,0.46283314
071158,0.318128,0.35874483,0.39816102,0.55877584,0.54881907,0.45699286,0.46247813,0.39387926,0.3511823,0.3329211,0.47280592,0.4431818
057821,0.4173391,0.33588755,0.6334798,0.37644663,0.2384041,0.35411605,0.23475666,0.29498002,0.23186427,0.24241051,0.3655446,0.29847994
085967,0.19008036,0.18135408,0.43154168,0.34107962,0.2243271,0.28755414,0.17042449,0.2058317,0.119181626,0.22484867,0.41992858,0.18821798
032075,0.36436012,0.3187753,0.40014267,0.506318,0.6596698,0.40690246,0.41113153,0.3554368,0.3767548,0.3927267,0.46661577,0.69818705
119582,0.26184636,0.29585785,0.47593212,0.4838044,0.6324999,0.5360047,0.44989845,0.41041487,0.24727553,0.2551671,0.2191481,0.37169433
116869,0.5185845,0.326667,0.4286544,0.1783993,0.08204385,0.28263357,0.14965929,0.1914913,0.12521869,0.2342606,0.43366092,0.28724265
120303,0.38464853,0.33238396,0.3957688,0.3723906,0.38876593,0.37942255,0.4434285,0.38135102,0.3172467,0.33097455,0.44262782,0.71749693
043698,0.28216136,0.25828055,0.41153556,0.39920855,0.4559996,0.3217712,0.31873944,0.38381162,0.29287782,0.38145325,0.30388424,0.3358828
120317,0.23454016,0.52383035,0.31154492,0.17529881,0.27703276,0.20813076,0.46939632,0.22312205,0.36238244,0.36664084,0.20655748,0.2263093
037119,0.50870955,0.16363339,0.11470215,0.19451296,0.25777465,0.22207552,0.121245876,0.12351808,0.33042347,0.29289427,0.4171854,0.31724516
031568,0.42788553,0.34515855,0.37786382,0.33011338,0.29431203,0.39370516,0.35849553,0.45794535,0.646556,0.5203728,0.6808666,0.55119497
085973,0.26944858,0.20079924,0.5278866,0.5985507,0.30261064,0.14178973,0.1934127,0.47921428,0.35173085,0.20762546,0.29446128,0.18912594
026014,0.4958364,0.45895287,0.44798046,0.45514914,0.475124,0.50040585,0.5289486,0.5780506,0.56043017,0.52246493,0.46913397,0.56848145
060041,0.5338401,0.6478491,0.40579996,0.34902456,0.3085234,0.37576357,0.37482643,0.27159274,0.28284433,0.24257642,0.33175832,0.43940014
122500,0.09123703,0.09455169,0.24423093,0.21903569,0.61382794,0.2803717,0.28225556,0.3906387,0.33903357,0.58421737,0.35075775,0.19349411
044849,0.22941332,0.2745806,0.7550928,0.27350467,0.25008243,0.3872271,0.36337242,0.3386283,0.20647667,0.25061643,0.18994297,0.28910613
120471,0.12199071,0.1280828,0.2592343,0.14560652,0.37978125,0.35500407,0.1015443,0.067267396,0.14798059,0.4879695,0.13232128,0.091353975
054482,0.45282727,0.2874016,0.4399949,0.25397995,0.34344634,0.31914258,0.21475409,0.4395801,0.28423545,0.43945646,0.30315045,0.2874789
068353,0.4134566,0.32735437,0.29712504,0.38951033,0.284011,0.22066091,0.34125787,0.28375733,0.3226647,0.2920551,0.4197225,0.63731325
138216,0.50171375,0.7738069,0.5876097,0.35730258,0.3495608,0.27375922,0.28413573,0.26483467,0.31774908,0.31422997,0.34586763,0.4089756
131554,0.7587771,0.6256979,0.51983297,0.5346323,0.6043577,0.57303023,0.50516987,0.43230274,0.40647298,0.38833493,0.48236382,0.6579106
087194,0.41944233,0.24394223,0.44324538,0.23301932,0.27360824,0.44715106,0.3489869,0.5890223,0.2819211,0.18597308,0.14191549,0.23270649
073773,0.51846427,0.48509154,0.53791344,0.50071996,0.41942883,0.45434976,0.42230886,0.46753624,0.4711254,0.56696147,0.6146927,0.51137644
043868,0.308575,0.28512618,0.30666536,0.94901705,0.50810784,0.19521393,0.21858604,0.3315339,0.31050155,0.22458269,0.24553056,0.22442842
109975,0.28367224,0.3739925,0.6082182,0.8149891,0.49569193,0.30537885,0.30822763,0.33115658,0.35374504,0.4476187,0.59902066,0.36332977
037131,0.51728535,0.41156626,0.5616116,0.47091028,0.5024179,0.47768292,0.46135643,0.5650407,0.4547385,0.435531,0.35613894,0.5166329
135054,0.4882889,0.5332221,0.5642727,0.597363,0.5750926,0.501057,0.4477527,0.48152524,0.4646354,0.44309452,0.4130073,0.45915675
133431,0.38262576,0.18539357,0.26868996,0.20983206,0.4945398,0.4149514,0.24652806,0.48710164,0.27024364,0.37138397,0.21016598,0.27446136
097393,0.3426392,0.22104414,0.30223808,0.2844778,0.4753539,0.31643906,0.35045776,0.56352365,0.40300554,0.49108446,0.31614405,0.3355067
073767,0.357136,0.36312506,0.32132608,0.440258,0.61742425,0.46138397,0.48901102,0.60879266,0.67594004,0.78663117,0.56814677,0.4897046
091084,0.49613076,0.6632093,0.9230057,0.7284626,0.4602974,0.3594513,0.3748746,0.3777412,0.44093177,0.5355801,0.4545108,0.44696036
131540,0.8135322,0.75110507,0.40227708,0.28938806,0.41320428,0.6004981,0.49856186,0.5563411,0.4518809,0.4535225,0.36881003,0.45916733
103519,0.12318836,0.29588914,0.5228447,0.2854138,0.2572111,0.17094812,0.3954491,0.33905086,0.20236121,0.4114676,0.17139821,0.20021714
114065,0.29992744,0.17566277,0.38138294,0.24455212,0.18548787,0.23574696,0.20940009,0.5747985,0.21363324,0.20871487,0.371163,0.22554477
104276,0.5883501,0.6130435,0.54485315,0.5315597,0.5245882,0.5334535,0.44830468,0.46514252,0.51081717,0.5455541,0.5995317,0.560876
043883,0.77825147,0.8299007,0.7920143,0.7841399,0.7462391,0.71796465,0.7142576,0.7020037,0.7626491,0.73240864,0.7606673,0.786447
004510,0.20490494,0.21856207,0.25895077,0.3545255,0.34143084,0.4011879,0.5273395,0.25430843,0.18229696,0.1649664,0.17502004,0.196434
142551,0.34019646,0.6159296,0.36094704,0.296022,0.404439,0.29089376,0.31769785,0.27491406,0.45492184,0.44987556,0.27324095,0.2743551
000010,0.2836892,0.6494239,0.33058184,0.34684432,0.23112103,0.3234304,0.70074886,0.3389895,0.38106036,0.30898228,0.56939065,0.30727267
006461,0.23762296,0.43370825,0.25013915,0.32651886,0.3350777,0.22274087,0.31192845,0.24138469,0.41306198,0.18882747,0.1576284,0.28928107
018887,0.35979378,0.26718178,0.27076697,0.3355466,0.57440656,0.3523943,0.32061154,0.40950453,0.34767056,0.5580332,0.32221535,0.34703404
054469,0.42661694,0.4683645,0.32245973,0.3881208,0.24872847,0.32702565,0.4596693,0.3643289,0.47937545,0.46894804,0.5738291,0.4714754
130689,0.50475866,0.5663641,0.5686311,0.51022255,0.41775587,0.5264324,0.7246291,0.57309735,0.7460393,0.7233094,0.6304276,0.5658526
107025,0.4652472,0.4446845,0.5025014,0.4996066,0.51783985,0.54508543,0.5173094,0.60199505,0.6372168,0.6037088,0.53811175,0.48910454
142579,0.4043643,0.25807214,0.28980026,0.3862531,0.58642,0.47148114,0.26991668,0.2653204,0.40748435,0.46015465,0.37395847,0.42280442
056518,0.17043446,0.18377416,0.35517,0.20755368,0.19969025,0.12618181,0.30318782,0.30604747,0.20433852,0.38924938,0.26044625,0.265038
134389,0.58251375,0.330026,0.30778185,0.20113282,0.30342472,0.2525597,0.2656552,0.76895595,0.34692582,0.38086757,0.29110113,0.43932605
099369,0.28415883,0.30224383,0.2392358,0.20811066,0.3434799,0.348036,0.6285369,0.43123654,0.22149585,0.20574805,0.30874753,0.34106943
098077,0.57392573,0.43634844,0.4816505,0.35106397,0.46038204,0.3545127,0.2876479,0.340114,0.28787157,0.3353992,0.2505712,0.35625163
087157,0.5511123,0.25351152,0.27928406,0.49756002,0.28833047,0.1439552,0.17733963,0.54767054,0.32692584,0.27189618,0.54429656,0.32125926
108464,0.20876881,0.25585306,0.3508055,0.24135402,0.45784295,0.22132435,0.36921915,0.43022418,0.3610969,0.40110353,0.28446338,0.60311687
116882,0.13016641,0.17083147,0.54243714,0.23430616,0.1347252,0.14620629,0.38889265,0.5940907,0.35049933,0.40022197,0.19325957,0.26582196
119569,0.32478026,0.31889695,0.3859243,0.41421512,0.41051418,0.3792316,0.5155606,0.39600977,0.46710762,0.66409576,0.43375912,0.47755593
051263,0.33727962,0.5038665,0.5711902,0.34341744,0.3244108,0.3027031,0.4536773,0.34436905,0.39218968,0.5299714,0.35757226,0.4167142
046079,0.49645448,0.5574115,0.56676364,0.5151691,0.47251847,0.45135748,0.35867327,0.3989965,0.40683818,0.34111458,0.33922595,0.37486508
039875,0.53750914,0.26272476,0.2680686,0.2427649,0.33655483,0.2616562,0.2496227,0.43554848,0.21771285,0.13620493,0.26339895,0.5796016
096728,0.2472441,0.30420431,0.71053714,0.27773362,0.037982564,0.029247884,0.05976025,0.09848973,0.17203312,0.36532632,0.35082915,0.28215942
