track_id,rms_harmonic,rms_percussive
126014,0.07208047,0.006433619
054496,0.0270599,0.0060707186
065893,0.14576977,0.09388508
071158,0.15360416,0.11224583
057821,0.22096027,0.08841128
085967,0.027187457,0.0060086027
032075,0.13460043,0.05935162
119582,0.098570384,0.02233125
116869,0.03721751,0.0042535197
120303,0.05510127,0.020045592
043698,0.25064132,0.10205134
120317,0.10143153,0.03073578
037119,0.13735007,0.017849457
031568,0.12204637,0.053042453
085973,0.13254616,0.020512834
026014,0.13537614,0.07466487
060041,0.10901166,0.06020087
122500,0.29333276,0.08299425
044849,0.024909241,0.008983312
120471,0.2263053,0.054797277
054482,0.07710546,0.022473523
068353,0.071511984,0.0562573
138216,0.16557,0.10298296
131554,0.18725732,0.09552641
087194,0.2026591,0.055788
073773,0.16372304,0.1457365
043868,0.1380963,0.06893187
109975,0.31609198,0.06884141
037131,0.15626754,0.08754503
135054,0.058686472,0.017835896
133431,0.124579564,0.025024775
097393,0.072248854,0.044301122
073767,0.29359922,0.09627294
091084,0.17711554,0.08178447
131540,0.20449713,0.1333217
103519,0.17591524,0.048127763
114065,0.15100381,0.04328123
104276,0.22249514,0.15510069
043883,0.051842242,0.051707666
004510,0.069562815,0.03432268
142551,0.22969675,0.059091
000010,0.13562442,0.0810359
006461,0.15002175,0.044594914
018887,0.09306528,0.05264666
054469,0.1832619,0.049130842
130689,0.07997704,0.043855213
107025,0.11224043,0.11919168
142579,0.19234592,0.10005408
056518,0.14273551,0.039817367
134389,0.15007615,0.06342503
099369,0.0633057,0.027482802
098077,0.1871427,0.12295465
087157,0.31948766,0.03675141
108464,0.11382567,0.009158689
116882,0.181498,0.053317342
119569,0.07588043,0.045012556
051263,0.100877225,0.04793961
046079,0.21614324,0.12543733
039875,0.04521326,0.018900622
096728,0.05974219,0.0057958323
108302,0.1436705,0.06683262
107031,0.09369821,0.08596471
045941,0.099686556,0.0264857
126216,0.047911037,0.004754962
072135,0.12722021,0.10159572
097813,0.26573393,0.0689133
141299,0.09598071,0.025605407
024367,0.05491774,0.03019439
142948,0.07988069,0.0382282
144487,0.053358804,0.014116974
056929,0.14556748,0.09090431
020667,0.26846045,0.14268625
117961,0.1662291,0.10903864
108841,0.265043,0.102354325
001681,0.12470035,0.049295954
061175,0.16730043,0.2065547
114298,0.13523525,0.16245599
024429,0.33561832,0.124457896
005381,0.08236244,0.020568937
125723,0.304147,0.121264674
036987,0.221395,0.09414863
090826,0.09760266,0.037832715
107596,0.16564928,0.033823572
131024,0.36343822,0.038763445
073565,0.19591312,0.07443321
085595,0.14304717,0.057961896
071372,0.19525087,0.12368153
061161,0.09388823,0.14273827
086077,0.16594829,0.03644191
055549,0.18146126,0.097428456
119025,0.08850587,0.04317698
006677,0.3514547,0.2979294
059373,0.07466307,0.0347989
061820,0.13508354,0.10103231
009550,0.2210271,0.113647506
038955,0.21468988,0.077017576
000212,0.08430063,0.039041266
004074,0.11329715,0.05458967
