track_id,spectral_centroid
126014,697.1997146784912
054496,1804.9293656066861
065893,2704.480407263374
071158,1394.7224697521094
057821,2204.3657771844896
085967,1155.2562914109558
032075,1839.4553165823727
119582,1534.6049328872969
116869,689.3391429765394
120303,659.1563403721246
043698,2014.13484563121
120317,1102.2410275664195
037119,506.6468620226141
031568,1933.9248728671282
085973,1263.1863181183296
026014,2120.60242380384
060041,2081.3036068700603
122500,1242.1165728562864
044849,1377.8514472685065
120471,2105.4649463439514
054482,1536.6860878370978
068353,2397.91749465417
138216,1739.5959083721377
131554,2633.122913961304
087194,2431.997019600208
073773,1942.1380731428474
043868,2488.597283288099
109975,918.5097765162097
037131,2041.579253582861
135054,1268.7363426431214
133431,1065.416256134939
097393,1745.521360024439
073767,2071.375176874483
091084,2552.185929425973
131540,2332.388163031922
103519,1270.3342787686709
114065,1513.2597210811157
104276,3151.889990971678
043883,4981.972991442957
004510,1437.4666908233287
142551,1620.66138488535
000010,2319.325849355042
006461,1271.744228495689
018887,1952.5126992953187
054469,1580.4977431432098
130689,3519.540093481494
107025,2657.956577811547
142579,2529.982242964624
056518,2139.8575108501914
134389,3792.6079410763987
099369,2616.563270804431
098077,1660.9478355833803
087157,1311.557722055413
108464,1925.82095812466
116882,2633.7616415176226
119569,1984.9043803007978
051263,2955.254572204402
046079,2095.0534133614565
039875,1339.4668648525424
096728,892.3173004305463
108302,2426.381901934503
107031,2626.88217721214
045941,927.920932789784
126216,666.8499632927061
072135,2231.39399564793
097813,1108.3117324331445
141299,1638.7703977914102
024367,1337.2289812947113
142948,2051.610102752533
144487,1406.6778911125168
056929,2171.898416075363
020667,2017.7988232287562
117961,1958.5011142649125
108841,1228.1217809597827
001681,2459.424811344749
061175,3143.8640260156735
114298,3517.82395976103
024429,1262.4354737037988
005381,1031.9386073322269
125723,1528.4361433070296
036987,556.2364675976613
090826,2122.729568033971
107596,679.373045685867
131024,580.8633450331635
073565,1922.7085234045994
085595,1413.5224342696706
071372,2801.803565247131
061161,2372.5709344501665
086077,801.4419395584174
055549,1753.4097943299535
119025,2313.1047121867323
006677,2591.6053171964227
059373,1688.2706811061153
061820,1397.1278281128305
009550,1853.7241178115264
038955,1676.5415192998976
000212,2233.7663614335997
004074,1862.556840582609
148518,2321.0516444787218
129694,1197.9037423807831
108882,1399.136028005453
101118,2181.6426973098373
063789,2039.377968849114
116464,2569.7369061668132
089350,580.2135938654251
107569,810.3041865643197
000574,2556.8989108078354
094467,1664.1940872224484
143303,1247.3994342751143
001642,2806.156395252182
152568,1413.1129861591694
110983,2116.6258573030445
131795,2096.1804572673313
121592,2125.7766231902438
075869,1459.26237878231
068838,1330.334436995922
010983,3849.7897288790095
116458,2137.7741548606755
139524,1560.8050688824874
126404,2171.9004347626956
062534,1696.2349751368745
056691,2411.0990923673758
