track_id,spectral_rolloff
126014,1181.8031399543213
054496,3763.2228488435326
065893,5751.6800953451275
071158,2990.0628903224247
057821,4758.804583272912
085967,2171.5676589126647
032075,3679.6213951022332
119582,3326.1637747426043
116869,1243.6758129958398
120303,1285.904178870546
043698,3474.7100759161985
120317,2100.9694818554235
037119,622.5530906576781
031568,4228.1553521071355
085973,2770.869560448538
026014,4474.444490251017
060041,4967.406394479812
122500,2660.191596577726
044849,2617.541532228828
120471,3876.4102288681256
054482,3090.364375634426
068353,5276.96912368077
138216,4015.0667103384003
131554,5429.950499165538
087194,5248.830674032048
073773,4261.831213539649
043868,5787.9115027110765
109975,2061.174549011183
037131,4698.54158597986
135054,2570.303380129785
133431,2089.18772844452
097393,3417.0491284312066
073767,4338.798873441126
091084,5940.89565380519
131540,4970.133488756293
103519,2431.2602985015965
114065,2879.302831955606
104276,7046.953057025812
043883,7895.385591016834
004510,2858.4284681206427
142551,3262.346888141676
000010,4256.3937044623835
006461,2431.358832633375
018887,4167.798927820476
054469,3271.4790042844693
130689,6837.358217172999
107025,5765.344436539298
142579,5579.46443137326
056518,4639.081306191995
134389,7503.530239450406
099369,4608.647551710157
098077,3629.3356202871228
087157,2781.1190982644266
108464,4324.754535607088
116882,5821.103659348373
119569,3812.527836948102
051263,6678.170178307756
046079,4605.7953613659465
039875,2187.4770020664155
096728,1384.8968671330365
108302,5272.678738127175
107031,5456.990704879938
045941,1815.8861794091306
126216,1102.398412576131
072135,4535.232839429222
097813,2440.263150739559
141299,2889.610747936435
024367,2613.2651945863186
142948,3970.336290965777
144487,2576.157147259281
056929,3858.121183766218
020667,4690.4186813153565
117961,4151.13787307562
108841,2678.8572327652982
001681,5230.608520980587
061175,6588.027706279002
114298,6778.989269159082
024429,2326.9453147693166
005381,1966.2578963348317
125723,3108.2254431917054
036987,994.0967515491867
090826,4533.84844294636
107596,1086.2526736513921
131024,857.8254351036019
073565,4590.352650087007
085595,2952.421976961282
071372,5581.077664328766
061161,4281.045969542748
086077,1086.4760276977634
055549,4158.2183105090535
119025,4232.656669174159
006677,5553.15995006163
059373,3313.2527511679414
061820,2529.4258099946746
009550,4055.5588099240517
038955,3550.1346650186388
000212,5051.712804390976
004074,4169.660430837287
148518,4870.11501273843
129694,2472.4047455046402
108882,2983.189643452726
101118,4999.030680401578
063789,4514.533610089078
116464,5576.133696164443
089350,1080.0075451348607
107569,1369.781508301914
000574,5335.69755761038
094467,3526.7323221795245
143303,2479.087152340724
001642,5989.822113698481
152568,2744.0262017836426
110983,4487.329385227053
131795,4481.928892202001
121592,4687.243737311485
075869,2886.0913785643397
068838,3000.879530312016
