track_id,rms_harmonic_mean,rms_harmonic_var,rms_percussive_mean,rms_percussive_var
000002,0.060800742,0.0006058465,0.10242912,0.0065459427
000003,0.068484254,0.0012387243,0.06560356,0.0021716973
000005,0.07955334,0.002229816,0.08541733,0.0038463958
000010,0.13562442,0.0006002898,0.0810359,0.003280893
000134,0.08826142,0.0011228157,0.09447713,0.003811669
000136,0.23686872,0.0022144066,0.07813604,0.00065140193
000139,0.099295676,0.0012924527,0.04784691,0.0012604648
000140,0.06083793,0.0010441055,0.015484743,0.00032009318
000141,0.08962583,0.0045513343,0.023680085,0.0010686258
000148,0.40035677,0.0057594194,0.14012246,0.003726049
000181,0.114326425,0.0012543972,0.06182841,0.0011295596
000182,0.21207672,0.00077711587,0.090550914,0.00065492984
000190,0.11555619,0.0028956668,0.032030195,0.0011004633
000193,0.07523756,0.0014782368,0.014364593,0.00039977345
000194,0.08434838,0.0022663844,0.021700999,0.000538195
000197,0.042152442,0.0011304641,0.0063963667,0.000122861
000198,0.102556355,0.001588065,0.029969178,0.0010347279
000200,0.092327446,0.0017697643,0.041625887,0.0017598004
000203,0.07884835,0.0012565632,0.018477896,0.00038732553
000204,0.09940982,0.001257777,0.032808274,0.0008749684
000207,0.043093156,0.0021045085,0.007756179,0.00024469956
000208,0.091903724,0.0008571592,0.021573126,0.000620134
000209,0.084611334,0.0005663098,0.015250106,5.6729725e-05
000210,0.12299999,0.00464756,0.03811659,0.0013359906
000211,0.11313523,0.0019309146,0.04072283,0.0016583867
000212,0.08430063,0.0009722995,0.039041266,0.0007275862
000213,0.06195359,0.0012673079,0.012296304,0.00010141407
000237,0.17378008,0.00077543105,0.08309015,0.0021705667
000247,0.12571578,0.001741659,0.05541494,0.0009112502
000249,0.110666856,0.00039254353,0.042728033,0.00037581203
000255,0.105247624,0.0009500323,0.053475384,0.000931728
000256,0.18668093,0.0006858663,0.12452631,0.0008325136
000257,0.12303371,0.0007975373,0.06913629,0.00065305684
000258,0.10104627,0.0010220589,0.052315447,0.00096785324
000341,0.057506964,0.00055875874,0.027186124,0.00053595915
000343,0.045640275,0.00042068976,0.019413246,0.00025676354
000352,0.09828556,0.0013239478,0.041100398,0.0016154188
000368,0.065277144,0.0004977475,0.019411115,0.00018376576
000369,0.20442423,0.010953691,0.099721745,0.0050468906
000397,0.21194501,0.0015689603,0.026256228,0.00010451977
000398,0.11320454,0.0018772456,0.055526,0.00060863
000399,0.17550135,0.0011182824,0.066189304,0.00046623038
000400,0.19038005,0.0006459753,0.041802015,0.0004931382
000405,0.114868954,0.0021245717,0.03209366,0.00013603082
000414,0.047401253,0.0009098289,0.057435926,0.0022320156
000424,0.09994102,0.0016175912,0.046112053,0.0007671507
000425,0.032949734,2.7109802e-05,0.007187089,4.1196113e-06
000458,0.2500245,0.0013567823,0.10248508,0.0026235175
000459,0.30949607,0.0025098608,0.102747165,0.0013403558
000512,0.16046381,0.009087147,0.057545785,0.003273532
000534,0.075970985,0.00253001,0.01943268,0.00020986504
000535,0.080498785,0.0017374872,0.031738486,0.00059016835
000536,0.0845937,0.0011716405,0.043315995,0.00083791424
000537,0.037461583,0.0004866007,0.02678358,0.00076925696
000540,0.07490975,0.0011172179,0.029261786,0.00053691043
000546,0.06515209,0.0011791801,0.029294828,0.0004537601
000550,0.0531882,0.0005194579,0.03847925,0.0018793853
000564,0.102822654,0.0047055073,0.046041947,0.0011086909
000573,0.1780183,0.0006045769,0.09025058,0.0012825471
000574,0.18327737,0.00084495527,0.12169148,0.002698208
000583,0.12987134,0.010123924,0.087065704,0.003429769
000584,0.20034705,0.004434539,0.07955617,0.0022292738
000585,0.15654984,0.0053829756,0.07569137,0.0027777622
000590,0.09081493,0.0009803476,0.038466267,0.0006354157
000591,0.08501722,0.0012402284,0.02634765,0.00055833306
000592,0.09279498,0.00090376585,0.052452814,0.0018281498
000593,0.096670486,0.0012033734,0.04282598,0.0010986387
000602,0.042790283,0.00039501037,0.0046155597,2.5340238e-05
000603,0.07879383,0.00853109,0.011311325,0.0014062865
000605,0.10707995,0.0015871053,0.0902716,0.0016605554
